TIME(S),GENERATION,COUNT,MALE%,SIZE,SPEED,V_RADIUS,V_ANGLE,VA_BOOST_LIKELIHOOD,VA_BOOST_STRENGTH,M_ENERGY_TO_OFFSPRING%,F_ENERGY_TO_OFFSPRING%,MTF_OFFSPRING%,M_DESIRABILITY%,F_STANDARDS%,F_GESTATION_PERIOD,MTV_DIG%,MATE_ENERGY_THRESH,BOREDOM_THRESH,EXPLOREMTP
2261,15,404,0.5049505,2.860507,0.9227083,11.25191,7.287453,0,0.1441915,0.1972355,0.2191136,0.499317,0.3639808,0.7778067,4.962896,0.3920032,0.3237157,10.98052,22.75705,
2281,15,342,0.5116959,2.827027,0.9271558,10.96043,7.256477,0,0.1441875,0.1895525,0.2194654,0.5000694,0.3677103,0.7704546,4.994022,0.3938092,0.329623,11.00602,22.95722,
2301,14,277,0.5018051,2.791155,0.9253281,10.64019,7.287101,0,0.143364,0.1845574,0.2191744,0.5014967,0.3682194,0.7646453,5.006769,0.3964632,0.3367372,11.03395,22.8576,
2321,14,231,0.5064935,2.772492,0.9206738,10.23214,7.320241,0,0.1425034,0.1819665,0.2226899,0.503582,0.3733235,0.763822,5.030418,0.3996274,0.3408367,11.08972,23.16137,
2341,14,199,0.5376884,2.769563,0.9127264,9.841865,7.313921,0,0.14384,0.1835891,0.2268641,0.5037021,0.373827,0.7570322,5.003076,0.3970174,0.3446497,11.28668,23.48624,
2361,14,166,0.5421687,2.751119,0.9175761,9.223016,7.418525,0,0.1429876,0.1885784,0.2260353,0.5065822,0.3742967,0.7514227,5.033224,0.3965121,0.3494392,11.25521,23.71289,
2381,13,141,0.5319149,2.758458,0.9157225,8.849972,7.551043,0,0.1420225,0.1808294,0.221446,0.5095109,0.3790969,0.7530906,5.047204,0.3960358,0.3560512,11.21975,23.89087,
2401,13,115,0.5565217,2.722922,0.9254239,8.672414,7.448215,0,0.1429654,0.1949384,0.2193047,0.5007728,0.378802,0.7580672,5.02832,0.3945515,0.3604634,11.20682,23.74289,
2421,13,106,0.5849057,2.715866,0.9258747,8.581227,7.427242,0,0.1429562,0.1935064,0.2240466,0.5016879,0.3804823,0.7630026,5.060756,0.394836,0.3577591,11.27387,23.81962,
2441,12,98,0.6122449,2.708387,0.9286882,8.314837,7.414995,0,0.1427683,0.1938798,0.2195958,0.5015784,0.3848775,0.7478198,5.100854,0.395384,0.3721822,11.43635,24.05437,
